Player,Team,fotmob_rating,minutes,matches,goals_per90,sot_per90,passes_per90,tackles_per90,interceptions_per90,blocks_per90,saves_per90,yellow_cards,red_cards,pens_conceded,assists_per90,big_chances_created_per90,Player_key,Team_key,Category,Score
Leon Bailey,Aston Villa,7.14,2072,35,0.43,0.8,23.8,0.3,0.4,0.0,0.0,5.0,0.0,0.0,0.3909266409266409,0.5212355212355212,leon bailey,aston villa,MF,0.0077941734567032
Leon Bailey,Aston Villa,7.14,2072,35,0.43,0.8,23.8,0.3,0.4,0.0,0.0,5.0,0.0,0.0,0.3909266409266409,0.5212355212355212,leon bailey,aston villa,FW,0.0011251986019854
Ruben Dias,Manchester City,7.14,2557,30,0.0,0.3,86.4,0.7,1.1,0.6,0.0,0.0,0.0,1.0,0.0,0.0351974970668752,ruben dias,manchester city,DF,0.0085805869111588
Josh Cullen,Burnley,7.13,2059,25,0.09,0.2,50.8,1.3,0.7,0.8,0.0,9.0,0.0,0.0,0.1311316172899465,0.1311316172899465,josh cullen,burnley,MF,0.0077344768938734
Malo Gusto,Chelsea,7.13,1755,27,0.0,0.3,55.7,1.4,0.9,0.2,0.0,7.0,1.0,1.0,0.3076923076923077,0.4102564102564102,malo gusto,chelsea,DF,0.0058627246635753
Malo Gusto,Chelsea,7.13,1755,27,0.0,0.3,55.7,1.4,0.9,0.2,0.0,7.0,1.0,1.0,0.3076923076923077,0.4102564102564102,malo gusto,chelsea,MF,0.0025607510532939
James Tarkowski,Everton,7.13,3419,38,0.03,0.1,31.2,1.1,1.5,1.5,0.0,11.0,0.0,1.0,0.026323486399532,0.1316174319976601,james tarkowski,everton,DF,0.0149797973575661
Jarrad Branthwaite,Everton,7.12,3117,35,0.09,0.1,31.7,0.9,1.4,1.0,0.0,8.0,0.0,1.0,0.0,0.0288739172281039,jarrad branthwaite,everton,DF,0.0153847231828709
Sergio Reguilon,Brentford,7.12,1534,25,0.0,0.1,28.7,1.6,1.2,0.4,0.0,7.0,1.0,1.0,0.2346805736636245,0.3520208604954368,sergio reguilon,brentford,DF,0.0047105260029757
Sergio Reguilon,Brentford,7.12,1534,25,0.0,0.1,28.7,1.6,1.2,0.4,0.0,7.0,1.0,1.0,0.2346805736636245,0.3520208604954368,sergio reguilon,brentford,MF,0.0020030269235041
Levi Colwill,Chelsea,7.1,1798,23,0.05,0.2,43.9,1.5,1.3,0.5,0.0,2.0,0.0,0.0,0.050055617352614,0.150166852057842,levi colwill,chelsea,DF,0.0075739557920769
Lewis Cook,Bournemouth,7.1,2792,33,0.0,0.1,35.2,1.3,2.1,0.4,0.0,5.0,1.0,0.0,0.0967048710601719,0.0967048710601719,lewis cook,bournemouth,DF,0.0013119678257548
