Player,Score,Category,team
Christian Atsu,0.004113632019957564,MF,Newcastle
Callum Hudson-Odoi,0.0005402424451256213,MF,Chelsea
Mesut Özil,0.005730710450276695,MF,Arsenal
Dominic Calvert-Lewin,0.00163760189435699,MF,Everton
Kyle Walker,0.0021313556380720047,MF,Manchester City
Leroy Sané,0.0014694694618518122,MF,Manchester City
Jürgen Locadia,0.0005891935229905381,MF,Brighton
Juan Mata,0.007356420182911123,MF,Manchester United
Alexis Sánchez,0.003896422541686866,MF,Manchester United
Elias Kachunga,0.00243114448498997,MF,Huddersfield
Junior Stanislas,0.003426887585013297,MF,Bournemouth
Allan Nyom,0.0010157962803830742,MF,West Brom
Kieran Gibbs,0.0018715722755115974,MF,West Brom
Sofiane Boufal,0.0026861501603207944,MF,Southampton
Emre Can,0.010104995487420141,MF,Liverpool
José Holebas,0.001237575036688541,MF,Watford
Samuel Field,0.0010213933502994936,MF,West Brom
Jeffrey Schlupp,0.0018912183603602727,MF,Crystal Palace
Charlie Adam,0.0012843773003706782,MF,Stoke City
Eric Maxim Choupo-Moting,0.002157910942024253,MF,Stoke City
Geoff Cameron,0.0018486903793834791,MF,Stoke City
Adam Smith,0.0020537835982371647,MF,Bournemouth
Andros Townsend,0.004748063949739486,MF,Crystal Palace
Wilfried Zaha,0.0013387837981078368,MF,Crystal Palace
Gylfi Sigurðsson,0.005650943159203746,MF,Everton
Danny Williams,0.0021572609431408495,MF,Huddersfield
Shinji Okazaki,0.0017601971344257802,MF,Leicester
Michail Antonio,0.0023292535537726327,MF,West Ham
Marcus Rashford,0.0033115736501015637,MF,Manchester United
Danny Drinkwater,0.0020653481395148977,MF,Chelsea
DeAndre Yedlin,0.0005398886297292798,MF,Newcastle
Matty James,0.00206651375591997,MF,Leicester
Patrice Evra,0.0006535020509715086,MF,West Ham
André Carrillo,0.003913427699750366,MF,Watford
Oleksandr Zinchenko,0.0005948051101313615,MF,Manchester City
Gareth Barry,0.004699261999950821,MF,West Brom
Anthony Martial,0.0030461319323052873,MF,Manchester United
Ben Chilwell,0.0007615191215760301,MF,Leicester
Scott Arfield,0.002189446043948354,MF,Burnley
Daryl Janmaat,0.0013221039408832197,MF,Watford
Marvin Zeegelaar,0.0019807793910396826,MF,Watford
Dodi Lukebakio,0.0005626286552558949,MF,Watford
Jonjoe Kenny,0.0009238087464445937,MF,Everton
Cuco Martina,0.001256908022998252,MF,Everton
Mame Biram Diouf,0.0018888332760141281,MF,Stoke City
Sam Byram,0.0008499585378914505,MF,West Ham
Leroy Fer,0.003246832692432534,MF,Swansea
Tom Cleverley,0.0078112288202631264,MF,Watford
Bakary Sako,0.0005899155381991364,MF,Crystal Palace
Steven Defour,0.005777548322674785,MF,Burnley
James McCarthy,0.0008067342998987381,MF,Everton
Ben Watson,0.001434616539356819,MF,Watford
Abdelhamid Sabiri,0.0011734407164268566,MF,Huddersfield
Charly Musonda Jr,0.0006103677554280005,MF,Chelsea
Héctor Bellerín,0.0061305685277451664,MF,Arsenal
Ashley Barnes,0.0005505344070321117,MF,Burnley
Joe Lolley,0.0005666180739853568,MF,Huddersfield
Renato Sanches,0.0024036046382029824,MF,Swansea
Isaiah Brown,0.001143017025994685,MF,Brighton
Harry Arter,0.0023007295297957017,MF,Bournemouth
Sead Kolašinac,0.005066156875342155,MF,Arsenal
Jason Puncheon,0.0016292091770366837,MF,Crystal Palace
Ibrahim Afellay,0.0006405472030488811,MF,Stoke City
Philippe Coutinho,0.005736615992699025,MF,Liverpool
Roque Mesa,0.002152834281316143,MF,Swansea
Francis Coquelin,0.0006974348294892086,MF,Arsenal
Rolando Aarons,0.0005390482632619326,MF,Newcastle
Jordan Ayew,0.000884560522449376,MF,Swansea
Zlatan Ibrahimović,0.000620822686369941,MF,Manchester United
Harry Winks,0.004435727569561247,MF,Tottenham
Jay Fulton,0.0005245508804753592,MF,Swansea
Henri Saivet,0.0006109024754275441,MF,Newcastle
Hal Robson-Kanu,0.0005406321760022938,MF,West Brom
Ethan Ampadu,0.0005317276272315983,MF,Chelsea
Ezequiel Schelotto,0.0005428326294328899,MF,Brighton
Tom Edwards,0.0005646736953222864,MF,Stoke City
Erik Pieters,0.0024018079320340634,MF,Stoke City
Fabian Delph,0.0011174613057864746,MF,Manchester City
Antonio Valencia,0.0010108611567528664,MF,Manchester United
Andrew Robertson,0.0006576865146902262,MF,Liverpool
Marko Grujić,0.000539513884783985,MF,Liverpool
Kasey Palmer,0.0006064879718830347,MF,Huddersfield
Robbie Brady,0.00416613941459896,MF,Burnley
Javier Manquillo,0.0006090000041490732,MF,Newcastle
Marko Arnautović,0.0008968446271380296,MF,West Ham
Roberto Firmino,0.0009113164674321033,MF,Liverpool
Chris Löwe,0.0007386940032953369,MF,Huddersfield
Serge Aurier,0.0016682166775013347,MF,Tottenham
Ben Davies,0.004201612571116004,MF,Tottenham
Kevin Mirallas,0.0006274224381518649,MF,Everton
Kyle Naughton,0.001584249973093716,MF,Swansea
Raheem Sterling,0.0007733905948850462,MF,Manchester City
Glen Johnson,0.0006163190287681288,MF,Stoke City
César Azpilicueta,0.0012730288770230072,MF,Chelsea
James Morrison,0.0009092542201695065,MF,West Brom
Jamie Murphy,0.000696924235263844,MF,Brighton
Levi Lumeka,0.0005418409924288918,MF,Crystal Palace
Benjamin Mendy,0.0011241628546459722,MF,Manchester City
Mason Holgate,0.0011523228833142008,MF,Everton
Muhamed Bešić,0.0007163903834401026,MF,Everton
Joel Ward,0.000993845502503741,MF,Crystal Palace
Patrick van Aanholt,0.0010220776892617897,MF,Crystal Palace
Declan Rice,0.0006668924990345406,MF,West Ham
David Luiz,0.0005244755244755246,MF,Chelsea
