Player,Team,fotmob_rating,minutes,matches,goals_per90,sot_per90,passes_per90,tackles_per90,interceptions_per90,blocks_per90,saves_per90,yellow_cards,red_cards,pens_conceded,assists_per90,big_chances_created_per90,Player_key,Team_key,Category,Score
Trent Alexander-Arnold,Liverpool,7.57,2159,28,0.13,0.3,55.9,1.1,1.3,0.1,0.0,6.0,0.0,0.0,0.1667438628994905,0.7086614173228346,trent alexander-arnold,liverpool,DF,0.0086985391280336
Josko Gvardiol,Manchester City,7.53,2328,28,0.15,0.5,59.1,1.3,1.0,0.5,0.0,3.0,0.0,0.0,0.0386597938144329,0.0773195876288659,josko gvardiol,manchester city,DF,0.0099166086022945
Alexis Mac Allister,Liverpool,7.51,2609,33,0.17,0.3,58.4,1.9,1.2,0.3,0.0,7.0,1.0,0.0,0.1724798773476427,0.1034879264085856,alexis mac allister,liverpool,MF,0.013535554912737
Conor Gallagher,Chelsea,7.5,3135,37,0.14,0.5,50.7,1.5,1.2,0.3,0.0,7.0,1.0,0.0,0.200956937799043,0.3157894736842105,conor gallagher,chelsea,MF,0.0152142961774365
Andrew Robertson,Liverpool,7.48,1691,23,0.16,0.4,58.1,1.3,0.7,0.3,0.0,2.0,0.0,0.0,0.1064458900059136,0.5322294500295683,andrew robertson,liverpool,DF,0.0063506505399091
Julián Álvarez,Manchester City,7.47,2657,36,0.37,1.4,33.1,0.4,0.1,0.0,0.0,2.0,0.0,0.0,0.304855099736545,0.2371095220173127,julian alvarez,manchester city,MF,0.0091728512268253
Julián Álvarez,Manchester City,7.47,2657,36,0.37,1.4,33.1,0.4,0.1,0.0,0.0,2.0,0.0,0.0,0.304855099736545,0.2371095220173127,julian alvarez,manchester city,FW,0.0098023705249626
Ollie Watkins,Aston Villa,7.4,3221,37,0.53,1.3,12.7,0.2,0.1,0.1,0.0,4.0,0.0,0.0,0.3632412294318535,0.3073579633654145,ollie watkins,aston villa,FW,0.0256142371886072
Virgil van Dijk,Liverpool,7.39,3178,36,0.06,0.4,74.4,0.7,1.1,1.0,0.0,3.0,1.0,0.0,0.0566393958464443,0.0849590937696664,virgil van dijk,liverpool,DF,0.0128097239341203
Kyle Walker,Manchester City,7.36,2767,32,0.0,0.1,62.8,0.8,0.9,0.2,0.0,2.0,0.0,0.0,0.1301048066498012,0.2276834116371521,kyle walker,manchester city,DF,0.0106036188383472
